Start battle	Rozpocznij bitwę
Who takes part in the battle?	Kto bierze udział w walce?
No characters in this thread.	Brak postaci w tym wątku.
Cancel	Anuluj
Another unit stands in the charge path, preventing the charge.	Na drodze szarży stoi inny oddział uniemożliwiający szarżę.
Abilities:	Zdolności:
Abilities	Zdolności
Error navigating to Barony: 	Błąd przejścia do Baronii: 
The GM panel is available only to the Game Master.	Panel MG jest dostępny wyłącznie dla Mistrza Gry.
Error navigating to the GM panel: 	Błąd przejścia do Panelu MG: 
Add another action	Dodaj kolejną akcję
Requires a used action	Wymaga wykorzystanej akcji
Removes Half turn	Usuwa Half turn
Half turn removed — full turn restored.	Usunięto half turn — pełna tura przywrócona.
Half turn granted.	Przyznano half turn.
Hide formatting	Ukryj formatowanie
Show formatting	Pokaż formatowanie
Exit full screen	Zamknij pełny ekran
Full screen	Pełny ekran
Click to continue editing the post...	Kliknij, aby kontynuować edycję posta...
Click to write a post...	Kliknij, aby napisać post...
Select at least one character.	Wybierz co najmniej jedną postać.
Game Master Panel	Panel Mistrza Gry
This page is available only to the Game Master.	Ta strona jest dostępna wyłącznie dla Mistrza Gry.
Game Master tools: baronies, campaign summaries, and editing approved items in the database.	Narzędzia Mistrza Gry: baronie, podsumowania kampanii oraz edycja zatwierdzonych przedmiotów w bazie.
Campaign	Kampania
Chapter (optional)	Rozdział (opcjonalnie)
Whole campaign	Cała kampania
Generate summary	Generuj podsumowanie
Download .txt file	Pobierz plik .txt
Battle archive	Archiwum bitew
Select a chapter to browse the battle archive.	Wybierz rozdział, aby przeglądać archiwum bitew.
chapter(s)	rozdział(ów)
post(s)	post(ów)
Preview	Podgląd
Error loading panel: 	Błąd ładowania panelu: 
Error loading chapters: 	Błąd ładowania rozdziałów: 
Failed to generate the summary.	Nie udało się wygenerować podsumowania.
Summary generated.	Podsumowanie wygenerowane.
Error generating: 	Błąd generowania: 
Approved items	Zatwierdzone przedmioty
Refresh	Odśwież
Edit all approved items in the database — both seeded and added later. Changes affect all characters that own the item.	Edycja wszystkich zatwierdzonych przedmiotów w bazie — zarówno z seeda, jak i dodanych później. Zmiany dotyczą wszystkich postaci, które dany przedmiot posiadają.
Search by name, type, or owner	Szukaj po nazwie, typie lub posiadaczu
Name	Nazwa
Type	Typ
Price [Imp]	Cena [Imp]
Weight [St]	Waga [St]
Owners	Posiadacze
Actions	Akcje
Edit item	Edytuj przedmiot
No approved items.	Brak zatwierdzonych przedmiotów.
Error loading items: 	Błąd ładowania przedmiotów: 
Item not found.	Nie znaleziono przedmiotu.
Item updated: 	Zaktualizowano przedmiot: 
Error editing item: 	Błąd edycji przedmiotu: 
The wiki is not deployed on this server yet. Run	Wiki nie jest jeszcze wdrożona na tym serwerze. Uruchom
(or the full pipeline	(lub pełny pipeline
