file	EN	PL	reason
DA_Business/Repository/BaronyRepos/BaronyRepository.cs	{info.ShortEn} {PpbFormat.Additive(grant[info.Key])}	{info.ShortPl} {PpbFormat.Additive(grant[info.Key])}	interpolation/format
DA_Business/Repository/BaronyRepos/BaronyRepository.cs	Cannot allocate {info.NameEn} while paying with {dto.EffectiveCostMode}.	Cannot allocate {info.NamePl} while paying with {dto.EffectiveCostMode}.	interpolation/format
DA_Business/Repository/BaronyRepos/BaronyRepository.cs	Cannot allocate more {info.NameEn} than remaining ({PpbFormat.Number(remaining)}).	Cannot allocate more {info.NamePl} than remaining ({PpbFormat.Number(remaining)}).	interpolation/format
DA_Business/Repository/BaronyRepos/BaronyRepository.cs	Not enough {info.NameEn} in stock ({PpbFormat.Number(stocks[info.Key])} available).	Not enough {info.NamePl} in stock ({PpbFormat.Number(stocks[info.Key])} available).	interpolation/format
DA_Common/Barony/BaronReputationTiers.cs	−15 Loyalty and +5 Corruption; −15 Economy, Defense, and Intelligence; −3 Bluff and Trade.	−15 Lojalność i +5 Korupcja; −15 Ekonomia, Obrona i Wywiad; −3 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	−8 Loyalty and +3 Corruption; −8 Economy, Defense, and Intelligence; −2 Bluff and Trade.	−8 Lojalność i +3 Korupcja; −8 Ekonomia, Obrona i Wywiad; −2 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	−3 Loyalty and +1 Corruption; −3 Economy, Defense, and Intelligence; −1 Bluff and Trade.	−3 Lojalność i +1 Korupcja; −3 Ekonomia, Obrona i Wywiad; −1 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	+3 Loyalty and −1 Corruption; +3 Economy, Defense, and Intelligence; +1 Bluff and Trade.	+3 Lojalność i −1 Korupcja; +3 Ekonomia, Obrona i Wywiad; +1 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	+5 Loyalty and −3 Corruption; +8 Economy, Defense, and Intelligence; +2 Bluff and Trade.	+5 Lojalność i −3 Korupcja; +8 Ekonomia, Obrona i Wywiad; +2 Blef i Handel.	non-texty literal
DA_Common/Barony/BaronReputationTiers.cs	+8 Loyalty and −5 Corruption; +15 Economy, Defense, and Intelligence; +3 Bluff and Trade.	+8 Lojalność i −5 Korupcja; +15 Ekonomia, Obrona i Wywiad; +3 Blef i Handel.	non-texty literal
